src,dst,sum_kzt,n_tx
902188,901245,4840000,8
903470,901245,2100000,4
901245,904311,5930000,9
901245,905624,1420000,2
904311,905624,2360000,3
904311,903470,1100000,2
908001,902188,650000,1
908002,902188,650000,1
908003,902188,650000,1
908004,902188,650000,1
908005,902188,650000,1
908006,902188,650000,1
908007,902188,650000,1
908008,902188,650000,1
908009,903470,1200000,2
904311,908010,535000,1
904311,908011,535000,1
904311,908012,535000,1
904311,908013,535000,1
908010,907193,200000,1
907193,906810,150000,1
